Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/10/21;85;12;16;18;11;10;1;2;5;2;0;3;0;0;4;1;0;0;0;0;
2020/10/22;92;13;7;30;13;2;3;1;6;3;1;2;1;0;9;1;0;0;0;0;
2020/10/23;95;17;14;11;15;11;7;0;5;1;0;3;0;0;8;2;0;0;1;0;
2020/10/24;37;5;8;7;2;5;3;1;2;0;1;1;0;0;2;0;0;0;0;0;
2020/10/25;18;3;2;5;1;0;4;0;2;0;0;0;0;0;1;0;0;0;0;0;
2020/10/26;98;10;20;22;15;8;6;1;5;1;1;3;1;0;5;0;0;0;0;0;
2020/10/27;105;14;9;15;14;18;8;2;8;3;2;5;1;0;6;0;0;0;0;0;
2020/10/28;118;18;22;15;20;13;8;1;6;3;5;2;3;0;2;0;0;0;0;0;
2020/10/29;94;11;17;26;13;7;1;4;4;2;1;1;1;0;4;1;0;0;1;0;
2020/10/30;118;14;21;23;15;10;7;3;7;2;3;1;2;0;7;2;0;0;1;0;
2020/10/31;42;6;2;19;3;1;0;1;4;0;1;0;1;0;0;4;0;0;0;0;
2020/11/01;24;3;1;12;0;1;2;0;1;1;0;2;0;0;0;1;0;0;0;0;
2020/11/02;124;15;24;28;14;11;7;5;5;2;4;0;0;1;2;4;0;0;2;0;
2020/11/03;118;15;18;34;10;6;9;1;7;3;0;3;2;1;8;1;0;0;0;0;
2020/11/04;106;10;14;20;12;12;5;3;5;5;2;4;4;1;5;4;0;0;0;0;
2020/11/05;125;17;22;29;13;17;5;2;1;5;1;1;1;0;6;4;0;0;1;0;
2020/11/06;142;11;32;30;24;8;6;2;5;1;4;2;2;1;7;7;0;0;0;0;
2020/11/07;55;4;6;17;8;10;1;0;1;0;0;2;0;0;2;4;0;0;0;0;
2020/11/08;30;4;1;14;3;1;0;1;0;0;0;0;0;0;1;5;0;0;0;0;
2020/11/09;121;13;26;13;22;13;8;7;5;0;4;3;1;0;5;0;0;0;1;0;
2020/11/10;131;20;18;25;17;13;4;3;2;6;9;3;0;0;6;5;0;0;0;0;
2020/11/11;121;11;18;25;16;11;9;3;6;1;8;2;4;0;7;0;0;0;0;0;
2020/11/12;91;15;13;17;16;2;6;1;3;3;6;1;1;0;5;1;0;0;1;0;
2020/11/13;150;18;26;26;22;14;5;5;6;5;7;5;1;0;8;2;0;0;0;0;
2020/11/14;49;2;6;13;7;4;0;1;4;2;2;1;3;0;2;2;0;0;0;0;
2020/11/15;34;2;3;15;1;1;3;0;3;0;0;0;0;0;5;1;0;0;0;0;
2020/11/16;118;14;18;18;19;7;9;9;3;4;7;5;0;0;5;0;0;0;0;0;
